route_id,agency_id,route_short_name,route_long_name,route_type,route_url
1276000000704,276,,Pågatågen,106,
1276000000705,276,,Pågatågen,106,
1276000000706,276,,Pågatågen,106,
1276000000707,276,,Pågatågen,106,
1276000000708,276,,Pågatågen,106,
1276000000709,276,,Pågatågen,106,
1276000000710,276,,Pågatågen,106,
1276000000711,276,,Pågatågen,106,
1276000000712,276,,Pågatågen,106,
1276000000713,276,,Pågatågen,106,
1276000000714,276,,Pågatågen,106,
1276000000715,276,,Pågatågen,106,
1276000000716,276,,Pågatågen,106,
1276000000717,276,,Pågatågen,106,
1276000000718,276,,Pågatågen,106,
1276000000719,276,,Pågatågen,106,
1276000000720,276,,Pågatågen,106,
1276000000721,276,,Pågatågen,106,
1276000000722,276,,Pågatågen,106,
1276000000723,276,,Pågatågen,106,
1276000000724,276,,Pågatågen,106,
1276000000725,276,,Pågatågen,106,
1276000000726,276,,Pågatågen,106,
1276000000727,276,,Pågatågen,106,
1276000000728,276,,Pågatågen,106,
1276000000729,276,,Pågatågen,106,
1276000000730,276,,Pågatågen,106,
1276000000731,276,,Pågatågen,106,
1276000000732,276,,Pågatågen,106,
1276000000733,276,,Pågatågen,106,
1276000000734,276,,Pågatågen,106,
1276000000735,276,,Pågatågen,106,
1276000000736,276,,Pågatågen,106,
1276000000737,276,,Pågatågen,106,
1276000000738,276,,Pågatågen,106,
1276000000739,276,,Pågatågen,106,
1276000000740,276,,Pågatågen,106,
1276000000741,276,,Pågatågen,106,
1276000000742,276,,Pågatågen,106,
1276000000743,276,,Pågatågen,106,
1276000000744,276,,Pågatågen,106,
1276000000745,276,,Pågatågen,106,
1276000000746,276,,Pågatågen,106,
1276000000747,276,,Pågatågen,106,
1276000000748,276,,Pågatågen,106,
1276000000749,276,,Pågatågen,106,
1276000000750,276,,Pågatågen,106,
1276000000751,276,,Pågatågen,106,
1276000000752,276,,Pågatågen,106,
1276000000753,276,,Pågatågen,106,
1276000000754,276,,Pågatågen,106,
1276000000755,276,,Pågatågen,106,
1276000000756,276,,Pågatågen,106,
1276000000757,276,,Pågatågen,106,
1276000000758,276,,Pågatågen,106,
1276000000759,276,,Pågatågen,106,
1276000000760,276,,Pågatågen,106,
1276000000761,276,,Pågatågen,106,
1276000000762,276,,Pågatågen,106,
1276000000763,276,,Pågatågen,106,
1276000000764,276,,Pågatågen,106,
1276000000765,276,,Pågatågen,106,
1276000000766,276,,Pågatågen,106,
1276000000767,276,,Pågatågen,106,
1276000000768,276,,Pågatågen,106,
1276000000769,276,,Pågatågen,106,
1276000000770,276,,Pågatågen,106,
1276000000771,276,,Pågatågen,106,
1276000000772,276,,Pågatågen,106,
1276000000773,276,,Pågatågen,106,
1276000000774,276,,Pågatågen,106,
1276000000775,276,,Pågatågen,106,
1276000000776,276,,Pågatågen,106,
1276000000777,276,,Pågatågen,106,
1276000000778,276,,Pågatågen,106,
1276000000779,276,,Pågatågen,106,
1276000000780,276,,Pågatågen,106,
1276000000781,276,,Pågatågen,106,
1276000000782,276,,Pågatågen,106,
1276000000783,276,,Pågatågen,106,
1276000000784,276,,Pågatågen,106,
1276000000785,276,,Pågatågen,106,
1276000000786,276,,Pågatågen,106,
1276000000787,276,,Pågatågen,106,
1276000000788,276,,Pågatågen,106,
1276000000789,276,,Pågatågen,106,
1276000000790,276,,Pågatågen,106,
1276000000791,276,,Pågatågen,106,
1276000000792,276,,Pågatågen,106,
1276000000793,276,,Pågatågen,106,
1276000000794,276,,Pågatågen,106,
1276000000795,276,,Pågatågen,106,
1276000000796,276,,Pågatågen,106,
1276000000797,276,,Pågatågen,106,
1276000000798,276,,Pågatågen,106,
1276000000799,276,,Pågatågen,106,
1276000000800,276,,Pågatågen,106,
1276000000801,276,,Pågatågen,106,
1276000000802,276,,Pågatågen,106,
1276000000803,276,,Pågatågen,106,
1276000000804,276,,Pågatågen,106,
1276000000805,276,,Pågatågen,106,
1276000000806,276,,Pågatågen,106,
1276000000807,276,,Pågatågen,106,
1276000000808,276,,Pågatågen,106,
1276000000809,276,,Pågatågen,106,
1276000000810,276,,Pågatågen,106,
1276000000811,276,,Pågatågen,106,
1276000000812,276,,Pågatågen,106,
1276000000813,276,,Pågatågen,106,
1276000000814,276,,Pågatågen,106,
1276000000815,276,,Pågatågen,106,
1276000000816,276,,Pågatågen,106,
1276000000817,276,,Pågatågen,106,
1276000000818,276,,Pågatågen,106,
1276000000819,276,,Pågatågen,106,
1276000000820,276,,Pågatågen,106,
1276000000821,276,,Pågatågen,106,
1279000000001,279,,Västtågen,106,
1279000000002,279,,Västtågen,106,
1279000000003,279,,Västtågen,106,
1279000000004,279,,Västtågen,106,
1279000000005,279,,Västtågen,106,
1279000000006,279,,Västtågen,106,
1279000000007,279,,Västtågen,106,
1279000000008,279,,Västtågen,106,
1279000000009,279,,Västtågen,106,
1279000000010,279,,Västtågen,106,
1279000000011,279,,Västtågen,106,
1279000000012,279,,Västtågen,106,
1279000000013,279,,Västtågen,106,
1279000000014,279,,Västtågen,106,
1279000000015,279,,Västtågen,106,
1279000000016,279,,Västtågen,106,
1279000000017,279,,Västtågen,106,
1279000000018,279,,Västtågen,106,
1279000000019,279,,Västtågen,106,
1279000000020,279,,Västtågen,106,
1279000000021,279,,Västtågen,106,
1279000000022,279,,Västtågen,106,
1279000000023,279,,Västtågen,106,
1279000000024,279,,Västtågen,106,
1279000000025,279,,Västtågen,106,
1279000000026,279,,Västtågen,106,
1279000000027,279,,Västtågen,106,
1279000000028,279,,Västtågen,106,
1279000000029,279,,Västtågen,106,
1279000000030,279,,Västtågen,106,
1279000000031,279,,Västtågen,106,
1279000000032,279,,Västtågen,106,
1279000000033,279,,Västtågen,106,
1279000000034,279,,Västtågen,106,
1279000000035,279,,Västtågen,106,
1279000000036,279,,Västtågen,106,
1279000000037,279,,Västtågen,106,
1279000000038,279,,Västtågen,106,
1279000000039,279,,Västtågen,106,
1279000000040,279,,Västtågen,106,
1279000000041,279,,Västtågen,106,
1279000000042,279,,Västtågen,106,
1279000000043,279,,Västtågen,106,
1279000000044,279,,Västtågen,106,
1279000000045,279,,Västtågen,106,
1279000000046,279,,Västtågen,106,
1279000000047,279,,Västtågen,106,
1279000000048,279,,Västtågen,106,
1279000000049,279,,Västtågen,106,
1279000000050,279,,Västtågen,106,
1279000000051,279,,Västtågen,106,
1279000000052,279,,Västtågen,106,
1279000000053,279,,Västtågen,106,
1279000000054,279,,Västtågen,106,
1279000000055,279,,Västtågen,106,
1279000000056,279,,Västtågen,106,
1279000000057,279,,Västtågen,106,
1279000000058,279,,Västtågen,106,
1279000000059,279,,Västtågen,106,
1279000000060,279,,Västtågen,106,
1279000000061,279,,Västtågen,106,
1279000000062,279,,Västtågen,106,
1279000000063,279,,Västtågen,106,
1279000000064,279,,Västtågen,106,
1279000000065,279,,Västtågen,106,
1279000000066,279,,Västtågen,106,
1279000000067,279,,Västtågen,106,
1279000000068,279,,Västtågen,106,
1279000000069,279,,Västtågen,106,
1279000000070,279,,Västtågen,106,
1279000000071,279,,Västtågen,106,
1279000000072,279,,Västtågen,106,
1279000000073,279,,Västtågen,106,
1279000000074,279,,Västtågen,106,
1279000000075,279,,Västtågen,106,
1279000000076,279,,Västtågen,106,
1279000000077,279,,Västtågen,106,
1279000000078,279,,Västtågen,106,
1279000000079,279,,Västtågen,106,
1279000000080,279,,Västtågen,106,
1279000000081,279,,Västtågen,106,
1279000000082,279,,Västtågen,106,
1279000000083,279,,Västtågen,106,
1279000000084,279,,Västtågen,106,
1279000000085,279,,Västtågen,106,
1279000000086,279,,Västtågen,106,
1279000000087,279,,Västtågen,106,
1279000000088,279,,Västtågen,106,
1279000000089,279,,Västtågen,106,
1279000000090,279,,Västtågen,106,
1279000000091,279,,Västtågen,106,
1279000000092,279,,Västtågen,106,
1279000000093,279,,Västtågen,106,
1279000000094,279,,Västtågen,106,
1279000000095,279,,Västtågen,106,
1279000000096,279,,Västtågen,106,
1279000000097,279,,Västtågen,106,
1279000000098,279,,Västtågen,106,
1279000000099,279,,Västtågen,106,
1279000000100,279,,Västtågen,106,
1279000000101,279,,Västtågen,106,
1279000000102,279,,Västtågen,106,
1279000000103,279,,Västtågen,106,
1279000000104,279,,Västtågen,106,
1279000000105,279,,Västtågen,106,
1279000000106,279,,Västtågen,106,
1279000000107,279,,Västtågen,106,
1279000000108,279,,Västtågen,106,
1279000000109,279,,Västtågen,106,
1279000000110,279,,Västtågen,106,
1279000000111,279,,Västtågen,106,
1279000000112,279,,Västtågen,106,
1279000000113,279,,Västtågen,106,
1279000000114,279,,Västtågen,106,
1279000000115,279,,Västtågen,106,
1279000000116,279,,Västtågen,106,
1279000000117,279,,Västtågen,106,
1279000000118,279,,Västtågen,106,
1279000000119,279,,Västtågen,106,
1279000000120,279,,Västtågen,106,
1279000000121,279,,Västtågen,106,
1279000000122,279,,Västtågen,106,
1279000000123,279,,Västtågen,106,
1279000000124,279,,Västtågen,106,
1279000000125,279,,Västtågen,106,
1279000000126,279,,Västtågen,106,
1279000000127,279,,Västtågen,106,
1279000000128,279,,Västtågen,106,
1279000000129,279,,Västtågen,106,
1279000000130,279,,Västtågen,106,
1279000000131,279,,Västtågen,106,
1279000000132,279,,Västtågen,106,
1279000000133,279,,Västtågen,106,
1279000000134,279,,Västtågen,106,
1279000000135,279,,Västtågen,106,
1279000000136,279,,Västtågen,106,
1279000000137,279,,Västtågen,106,
1279000000138,279,,Västtågen,106,
1279000000139,279,,Västtågen,106,
1279000000140,279,,Västtågen,106,
1279000000141,279,,Västtågen,106,
1279000000142,279,,Västtågen,106,
1279000000143,279,,Västtågen,106,
1279000000144,279,,Västtågen,106,
1279000000145,279,,Västtågen,106,
1279000000146,279,,Västtågen,106,
1279000000147,279,,Västtågen,106,
1279000000148,279,,Västtågen,106,
1279000000149,279,,Västtågen,106,
1279000000150,279,,Västtågen,106,
1279000000151,279,,Västtågen,106,
1279000000152,279,,Västtågen,106,
1279000000153,279,,Västtågen,106,
1279000000154,279,,Västtågen,106,
1279000000155,279,,Västtågen,106,
1279000000156,279,,Västtågen,106,
1279000000157,279,,Västtågen,106,
1279000000158,279,,Västtågen,106,
1279000000159,279,,Västtågen,106,
1279000000160,279,,Västtågen,106,
1279000000161,279,,Västtågen,106,
1279000000162,279,,Västtågen,106,
1279000000163,279,,Västtågen,106,
1279000000164,279,,Västtågen,106,
1279000000165,279,,Västtågen,106,
1279000000166,279,,Västtågen,106,
1279000000167,279,,Västtågen,106,
1279000000168,279,,Västtågen,106,
1279000000169,279,,Västtågen,106,
1279000000170,279,,Västtågen,106,
1279000000171,279,,Västtågen,106,
1279000000172,279,,Västtågen,106,
1279000000173,279,,Västtågen,106,
1279000000174,279,,Västtågen,106,
1279000000175,279,,Västtågen,106,
1279000000176,279,,Västtågen,106,
1279000000177,279,,Västtågen,106,
1279000000178,279,,Västtågen,106,
1279000000179,279,,Västtågen,106,
1279000000180,279,,Västtågen,106,
1279000000181,279,,Västtågen,106,
1279000000182,279,,Västtågen,106,
1279000000183,279,,Västtågen,106,
1279000000184,279,,Västtågen,106,
1279000000185,279,,Västtågen,106,
1279000000186,279,,Västtågen,106,
1279000000187,279,,Västtågen,106,
1279000000188,279,,Västtågen,106,
1279000000189,279,,Västtågen,106,
1279000000190,279,,Västtågen,106,
1279000000191,279,,Västtågen,106,
1279000000192,279,,Västtågen,106,
1279000000193,279,,Västtågen,106,
1279000000194,279,,Västtågen,106,
1279000000195,279,,Västtågen,106,
1279000000196,279,,Västtågen,106,
1279000000197,279,,Västtågen,106,
1279000000198,279,,Västtågen,106,
1279000000199,279,,Västtågen,106,
1279000000200,279,,Västtågen,106,
1279000000201,279,,Västtågen,106,
1279000000202,279,,Västtågen,106,
1279000000203,279,,Västtågen,106,
1279000000204,279,,Västtågen,106,
1279000000205,279,,Västtågen,106,
1279000000206,279,,Västtågen,106,
1279000000207,279,,Västtågen,106,
1279000000208,279,,Västtågen,106,
1279000000209,279,,Västtågen,106,
1279000000210,279,,Västtågen,106,
1279000000211,279,,Västtågen,106,
1279000000212,279,,Västtågen,106,
1279000000213,279,,Västtågen,106,
1279000000214,279,,Västtågen,106,
1279000000215,279,,Västtågen,106,
1279000000216,279,,Västtågen,106,
1279000000217,279,,Västtågen,106,
1279000000218,279,,Västtågen,106,
1279000000219,279,,Västtågen,106,
1279000000220,279,,Västtågen,106,
1279000000221,279,,Västtågen,106,
1279000000222,279,,Västtågen,106,
1279000000223,279,,Västtågen,106,
1279000000224,279,,Västtågen,106,
1279000000225,279,,Västtågen,106,
1279000000226,279,,Västtågen,106,
1279000000227,279,,Västtågen,106,
1279000000228,279,,Västtågen,106,
1279000000229,279,,Västtågen,106,
1279000000230,279,,Västtågen,106,
1279000000231,279,,Västtågen,106,
1279000000232,279,,Västtågen,106,
1279000000233,279,,Västtågen,106,
1279000000234,279,,Västtågen,106,
1279000000235,279,,Västtågen,106,
1279000000236,279,,Västtågen,106,
1279000000237,279,,Västtågen,106,
1279000000238,279,,Västtågen,106,
1279000000239,279,,Västtågen,106,
1279000000240,279,,Västtågen,106,
1279000000241,279,,Västtågen,106,
